pretrain,neighbours,dataset_size,dataset,model,test_accuracy_mean,test_accuracy_std,test_precision_mean,test_precision_std,test_recall_mean,test_recall_std,test_f1_score_mean,test_f1_score_std,test_mcc_mean,test_mcc_std,test_aucroc_mean,test_aucroc_std,test_aucpr_mean,test_aucpr_std,test_sensitivity_mean,test_sensitivity_std,test_specificity_mean,test_specificity_std,test_ppv_mean,test_ppv_std,test_npv_mean,test_npv_std,test_ARI_mean,test_ARI_std,test_NMI_mean,test_NMI_std,Inference Time (ms)_mean,Inference Time (ms)_std
False,8,0.2,mpid,chebnet,0.8671052631578948,0.0136819962783456,0.8671697025320398,0.013419007088061,0.8671052631578948,0.0136819962783456,0.8628155642517736,0.0150385540224582,0.6876182342860572,0.0332188261886729,0.9392609470972856,0.0065412953278654,0.9696222797727312,0.0035605357402718,0.9475728155339804,0.0105240210624654,0.6979591836734694,0.0442438436503649,0.8686104971322633,0.0163542310210188,0.8641410934744268,0.0221415995012781,0.524690509637644,0.0431925043065827,0.3957884159563479,0.0394808857385924,6.543207168579102,2.9510273058901144
False,8,0.2,mpid,jknet,0.7710526315789474,0.0533767154615437,0.7302947127139114,0.1519017158813303,0.7710526315789474,0.0533767154615437,0.7461076813596312,0.111572771074546,0.4296423418455747,0.2413156009422607,,,,,0.8679611650485437,0.0756253970480093,0.5673469387755101,0.318017206725403,0.8219103500047016,0.0811917449337271,0.5377149037149037,0.3013265603904649,0.2695176613052862,0.1529254967862749,0.1815442905922895,0.103613115577442,6.557893753051758,3.081115935977135
False,8,0.2,mpid,gin,0.7651315789473685,0.0419069135636607,0.7814056992711831,0.0211880396277308,0.7651315789473685,0.0419069135636607,0.7503894653431364,0.0709789083133663,0.4602904024977613,0.1168685032643957,0.83446106597979,0.0045728305966644,0.908497674152228,0.0013368635884785,0.8504854368932039,0.1000400523052024,0.5857142857142857,0.2567903317279902,0.8221512079031479,0.0656791199635036,0.6957569770448082,0.1143514732412579,0.2597482604143623,0.1129019453240467,0.1803897101048512,0.0649767141599676,15.333938598632812,5.593321416850739
False,8,0.2,mpid,tagconv,0.8098684210526315,0.0835875911114301,0.8353000871789815,0.0510303138991361,0.8098684210526315,0.0835875911114301,0.7769188688292545,0.1269308413676372,0.5387739590458134,0.2262606031791627,0.9053992470774718,0.0433248484776076,0.9481204502359776,0.027092117375803,0.9485436893203884,0.0525753031711157,0.5183673469387755,0.3497336405398845,0.8203570975761559,0.1033213337596642,0.8667108612420643,0.0769653061743396,0.3628849216853983,0.243013414285154,0.2859949629870215,0.169890656160204,8.345699310302734,3.5055510859747203
False,8,0.2,mpid,feastconv,0.7828947368421052,0.0147109735361828,0.7852084681214303,0.0131683000080381,0.7828947368421052,0.0147109735361828,0.7755003573954736,0.0241203650045993,0.4944537242602701,0.0476060586525427,0.8356399841489994,0.0026549686666289,0.9080016037590096,0.0017012670069742,0.8718446601941746,0.0639967126123378,0.5959183673469387,0.1493774391442065,0.8235558447311435,0.0425672521462149,0.7046007172887682,0.0635283240996888,0.2991227657537382,0.0434265897921703,0.1989877957313024,0.0290776122228343,13.648128509521484,5.657505028590158
True,4,0.2,fakenewsnet,gin,0.7521551724137931,0.0,0.565737403388823,0.0,0.7521551724137931,0.0,0.6457617593417313,0.0,0.0,0.0,0.7567135916282546,0.0105763946190141,0.5719635137521939,0.0281530552813475,0.0,0.0,1.0,0.0,0.0,0.0,0.7521551724137931,0.0,0.0,0.0,0.0,0.0,8.357381820678711,3.416140397408185
True,4,0.2,fakenewsnet,tagconv,0.7771551724137932,0.0242205329260108,0.7509146549848456,0.1036574412122875,0.7771551724137932,0.0242205329260108,0.7059404573870388,0.0567063069602282,0.2337010306553213,0.1625212459775082,0.8220804783854492,0.0088430839276511,0.6415063782182415,0.0216506556106813,0.1408695652173913,0.1614443316184257,0.9868194842406878,0.0215947778583573,0.6671212121212122,0.3779944720979913,0.7785256748396244,0.0309013043283941,0.1157962032150781,0.1175122540922802,0.0785580920673862,0.0664993706896145,9.317779541015623,5.184235023772349
True,4,0.2,fakenewsnet,gat,0.7732758620689655,0.0129669042728373,0.7422725381355264,0.1024036582088934,0.7732758620689655,0.0129669042728373,0.7099728901626238,0.0429650943035688,0.2361631289146584,0.1344464660728582,0.7578896225239815,0.0117258850471661,0.5644121475602495,0.0198154036734426,0.1617391304347826,0.1363305224157635,0.9747851002865328,0.0374361633480334,0.6267543859649123,0.3843526655908617,0.7803372587648119,0.0225187505136533,0.1190432769709376,0.080402861639901,0.0754835129493307,0.0424525019630908,11.23809814453125,8.295796198075717
True,4,0.2,fakenewsnet,jknet,0.6706896551724137,0.2368258941959519,0.6227487939522981,0.317747591472336,0.6706896551724137,0.2368258941959519,0.5926726354759079,0.2796050395428033,0.2001570299515131,0.1674224947751366,,,,,0.3408695652173913,0.3886090750774024,0.7793696275071633,0.4364198797892635,0.6112762825904121,0.2735434264147048,0.6265291343724038,0.350901859535193,0.1056402625288207,0.1014627455584712,0.0661433985187626,0.0611421317366075,11.91091537475586,5.507779971865414
True,4,0.2,fakenewsnet,gcn,0.756896551724138,0.010602046445042,0.6144212789074273,0.1088604550677368,0.756896551724138,0.010602046445042,0.6567785885078677,0.0246343789119835,0.0531034607557209,0.1187429480902844,0.7674324155973589,0.0159167307963273,0.5730062764745036,0.0303148875047252,0.0208695652173913,0.0466657664869521,0.9994269340974212,0.0012814143137534,0.1846153846153846,0.4128125496922689,0.7560478629864669,0.008704320735871,0.0200721787291576,0.0448827560949217,0.0175055337233915,0.0391435633879185,7.773542404174805,3.3195805379335197
