Dataset,Model,train_accuracy,train_precision,train_recall,train_f1,train_mcc,train_aucroc,train_aucpr,train_sensitivity,train_specificity,train_ppv,train_npv,train_ARI,train_NMI,test_accuracy,test_precision,test_recall,test_f1,test_mcc,test_aucroc,test_aucpr,test_sensitivity,test_specificity,test_ppv,test_npv,test_ARI,test_NMI,Inference Time (ms),Stop Epoch,Early Stopping
fakenewsnet,feastconv,0.8588023952095808 ± 0.0390741002980533,0.8560453270081088 ± 0.0403983610812428,0.8588023952095808 ± 0.0390741002980533,0.8433958270138617 ± 0.0561798078537963,0.5840605222533923 ± 0.141379870069558,0.9330707621504416 ± 0.0286607543523486,0.8052906552989368 ± 0.0690908584535528,0.5295946171050009 ± 0.173394006327718,0.9674092326121148 ± 0.0053605845511349,0.8332458589761875 ± 0.0397365692097048,0.8635670359314304 ± 0.0406583608865606,0.4482468535923797 ± 0.1491627123660644,0.3128061501858771 ± 0.1142330865828735,0.7999137931034482 ± 0.0206118328055811,0.7934518143790408 ± 0.0125105215490579,0.7999137931034482 ± 0.0206118328055811,0.7628416001849965 ± 0.0467221996765656,0.3727758934158226 ± 0.1047143782206105,0.8278166013634047 ± 0.0089571583664988,0.6330660801172464 ± 0.0075243851673204,0.3017361111111111 ± 0.1327778867386815,0.9644495412844036 ± 0.0171348082539953,0.7492516796015269 ± 0.0389319621093264,0.8080500240303298 ± 0.0253907432520964,0.2333434778512233 ± 0.0982154030301375,0.1375898400710709 ± 0.0541553253098731,74.15637969970703 ± 16.092656041971782,266.0 ± 70.3455755538328,1.0 ± 0.0
fakenewsnet,chebnet,0.9374850299401196 ± 0.0071179447028115,0.9368813672243635 ± 0.0071027001832713,0.9374850299401196 ± 0.0071179447028115,0.9362928747781762 ± 0.0077243737009774,0.8285943167489324 ± 0.0205532773358348,0.980755075283365 ± 0.0021854524601214,0.9342373363282108 ± 0.0100405655921929,0.8240909310198246 ± 0.0341219864309462,0.9748949833255824 ± 0.0018237818084053,0.915549027504428 ± 0.0025620315098657,0.9439190458147564 ± 0.0102107550506109,0.7458182480704285 ± 0.0285434028354765,0.6011855477868251 ± 0.0309262275660725,0.8313793103448276 ± 0.0045145589561297,0.8229129300205196 ± 0.0046900819881573,0.8313793103448276 ± 0.0045145589561297,0.8227097066458262 ± 0.0043019656715673,0.5163832980430796 ± 0.0120239929258812,0.8493955466360855 ± 0.0018955515749846,0.6817132301813121 ± 0.0056136702889223,0.5368055555555555 ± 0.0293962114774743,0.9286697247706422 ± 0.0123419752027949,0.7146803675148108 ± 0.0253836784198762,0.8586594644260748 ± 0.0063621624786081,0.3771479841692567 ± 0.0119799029089036,0.2254506513472583 ± 0.0107047776219653,62.86988258361816 ± 9.77789356944537,61.8 ± 4.08656334834051,1.0 ± 0.0
fakenewsnet,tagconv,0.8931137724550897 ± 0.0700031397683844,0.8957293835625816 ± 0.0615407096723472,0.8931137724550897 ± 0.0700031397683844,0.8760798959202768 ± 0.1057927649497036,0.6771333848337588 ± 0.2594975188578531,0.9462092637458204 ± 0.0544500756900995,0.8635233748035447 ± 0.0887428411493948,0.663620073348498 ± 0.3268440463202712,0.9688226552086384 ± 0.0148548071287913,0.8699287182903482 ± 0.0148351298019556,0.9042418519375884 ± 0.0772324919816213,0.5730463472442986 ± 0.2795476132985146,0.4435868113770575 ± 0.2167087405577213,0.8153448275862069 ± 0.0354885639163746,0.8215916830523747 ± 0.0072583634499407,0.8153448275862069 ± 0.0354885639163746,0.7896732381511066 ± 0.0798320081633429,0.4287321672529434 ± 0.2116704720756652,0.8472972811544341 ± 0.0164240912827752,0.689195842324781 ± 0.0292663574322545,0.4583333333333333 ± 0.2546023370263716,0.9332568807339447 ± 0.0375137624494896,0.7549663139386406 ± 0.1376076215122853,0.8435963921174612 ± 0.0511352343421269,0.3077804767965199 ± 0.1708241782125976,0.1833386323150521 ± 0.1010366472781611,55.61408996582031 ± 12.539562195627845,74.2 ± 20.32732151563506,1.0 ± 0.0
kaggle-isot,gin,0.9578970681290868 ± 0.0041614025505949,0.9580638349023554 ± 0.0040139473354162,0.9578970681290868 ± 0.0041614025505949,0.9579050926498448 ± 0.0041525428022086,0.9158062248595252 ± 0.0081667684244349,0.9918748438244868 ± 0.0019619990340355,0.9904400487177012 ± 0.0027481082542108,0.9616407263294424 ± 0.0055705468063408,0.95448248530305 ± 0.010808378225477,0.9508029339251336 ± 0.0109203219147608,0.9646866002157118 ± 0.0047131915180379,0.8387276396626714 ± 0.0152952642236291,0.7493700780710758 ± 0.0179745885282768,0.9258797327394208 ± 0.0018792893638956,0.9261908005973408 ± 0.0017565399875447,0.9258797327394208 ± 0.0018792893638956,0.9258099597856996 ± 0.0018984874049674,0.8516549353907983 ± 0.0036636374329923,0.9624539111499228 ± 0.0032594943032658,0.9598743808468246 ± 0.0025316295258242,0.9065359477124184 ± 0.0061970283869449,0.943526405451448 ± 0.0031238706679543,0.936098120382343 ± 0.0030006832027551,0.9171526920030162 ± 0.004846915653802,0.7254414287641293 ± 0.0064118421358183,0.6202262802440557 ± 0.0062505252319304,108.23302268981934 ± 11.537668422436168,119.6 ± 10.807404868885037,1.0 ± 0.0
kaggle-isot,tagconv,0.9997525174221764 ± 0.0001210548051494,0.9997525347463944 ± 0.0001210502082275,0.9997525174221764 ± 0.0001210548051494,0.9997525176954778 ± 0.000121054036033,0.9995040052624388 ± 0.000242615623335,0.9999893013821206 ± 8.085143247158792e-06,0.9999885656637064 ± 7.91808099263302e-06,0.9997405966277562 ± 0.0001056939430156,0.999763391268265 ± 0.0001913880187871,0.9997406281578528 ± 0.0002097674029754,0.9997633945419 ± 9.64010095431418e-05,0.9990103190579712 ± 0.0004839732593944,0.9967329114558112 ± 0.0014432477044895,0.9767483296213808 ± 0.0014655397662683,0.9767571118310554 ± 0.0014601649919255,0.9767483296213808 ± 0.0014655397662683,0.9767462526624464 ± 0.0014660052230435,0.9534035197868852 ± 0.0029325820073525,0.9971630503422264 ± 0.0003966543577876,0.9969176840293216 ± 0.0004950792013726,0.9737628384687208 ± 0.0028088905614362,0.9794718909710391 ± 0.0022816175870492,0.9774199112452966 ± 0.0024313149681184,0.97615246262096 ± 0.0024674272481343,0.909142133646079 ± 0.0055904386243764,0.8407003758398828 ± 0.0078307665295252,113.53049278259276 ± 19.63248971883035,169.6 ± 25.43226297441893,1.0 ± 0.0
kaggle-isot,chebnet,0.9995127687964028 ± 0.0002616943112889,0.9995127791979014 ± 0.0002616976565944,0.9995127687964028 ± 0.0002616943112889,0.9995127677059767 ± 0.0002616943455925,0.999023483559547 ± 0.0005245000220958,0.9999592625146814 ± 1.2574811735410753e-05,0.9999573769652524 ± 1.6634518318721243e-05,0.9994325551232166 ± 0.0002688573922142,0.9995859355395296 ± 0.0002696489970873,0.9995460059764024 ± 0.0002956277777213,0.9994824705334552 ± 0.0002452168595456,0.9980521601814398 ± 0.001045781791795,0.9940238165740286 ± 0.0029004801163939,0.970467706013363 ± 0.0024630140402582,0.970511390408512 ± 0.002449356569192,0.970467706013363 ± 0.0024630140402582,0.9704716788975244 ± 0.0024609874230759,0.9408636709501682 ± 0.0049181166950047,0.9945573800218556 ± 0.0003566853388607,0.9941599360865204 ± 0.0005353532709027,0.972455648926237 ± 0.0032512577677833,0.9686541737649064 ± 0.0044931352282463,0.96589348910493 ± 0.0047060142287612,0.9747241436420184 ± 0.0028895694774778,0.8853530379583321 ± 0.009264515736732,0.8083005347010583 ± 0.01231453769988,115.74349403381348 ± 12.147007069722472,107.0 ± 10.319883720275149,1.0 ± 0.0
kaggle-isot,graphsage,0.9998298554473792 ± 0.0001079989235811,0.9998298687268304 ± 0.0001080028689174,0.9998298554473792 ± 0.0001079989235811,0.9998298548953984 ± 0.0001079990715301,0.9996590029935029 ± 0.0002164588862287,0.9999940150937504 ± 1.5124044871567373e-06,0.9999929131577372 ± 1.8358336867681724e-06,0.9997405966277562 ± 0.0001056939430156,0.9999112710422108 ± 0.0001215004564241,0.9999027132198371 ± 0.000133211409772,0.9997634251583464 ± 9.63984853210843e-05,0.9993195456550404 ± 0.0004318253548431,0.9977086404663924 ± 0.0013540487099497,0.9785746102449888 ± 0.0015301170634581,0.9785778389082168 ± 0.0015308080565063,0.9785746102449888 ± 0.0015301170634581,0.9785736833368842 ± 0.0015292824939131,0.9570603177048858 ± 0.0030657559194694,0.997692058083881 ± 0.0003289260596887,0.9974465129690469 ± 0.0004585977747437,0.9765639589169 ± 0.0014160364974886,0.9804088586030664 ± 0.0025553662691652,0.9784885092830268 ± 0.002745492873201,0.9786593312664608 ± 0.0012669789091773,0.916123116970593 ± 0.005857069375959,0.850579695923478 ± 0.0084637833292394,114.3357753753662 ± 12.098956883556047,163.8 ± 21.947665023869853,1.0 ± 0.0
kaggle-isot,gat,0.964408909216095 ± 0.0012818913721569,0.9644628366562296 ± 0.0012375487774835,0.964408909216095 ± 0.0012818913721569,0.964405181345756 ± 0.0012760065356588,0.9287160507903968 ± 0.0025113604571198,0.9938279274890752 ± 0.0001931854112614,0.9939158572875778 ± 0.0002582943808044,0.9609273670557718 ± 0.0055000889483942,0.9675846551430988 ± 0.0066306613633771,0.9644031953746371 ± 0.0067446344012357,0.9645171160184732 ± 0.0046669334818035,0.8627017799723795 ± 0.0047606585808262,0.7786345638575265 ± 0.0057584956482611,0.9339866369710468 ± 0.0033503944144573,0.9345294830477991 ± 0.0033062233135553,0.9339866369710468 ± 0.0033503944144573,0.933902823916388 ± 0.0033605374570655,0.8681209890278259 ± 0.0066806667472583,0.973612323975587 ± 0.00323250613003,0.9759847971039152 ± 0.0021892373437022,0.9106442577030812 ± 0.0054902437163275,0.955281090289608 ± 0.0035886498182182,0.9489298963021314 ± 0.0039211457328283,0.9213924791334976 ± 0.004486557860687,0.7533553711814222 ± 0.0116532841015076,0.6522077985368728 ± 0.0128281646989975,111.35292053222656 ± 11.927914233457727,164.6 ± 12.856904759700136,1.0 ± 0.0
kaggle-isot,sgc,0.7849917048646622 ± 0.0014935749305119,0.809772101860554 ± 0.0020342342823181,0.7849917048646622 ± 0.0014935749305119,0.7786160805794455 ± 0.0015847765414286,0.5902833759267023 ± 0.0032941651251365,0.9227667542283664 ± 0.0024975447224601,0.9123160670114382 ± 0.0024015461211007,0.6200389105058367 ± 0.004037908983851,0.9354499084532952 ± 0.0034294546611848,0.8975888349950484 ± 0.0044794118428649,0.7296719539204156 ± 0.001695947318221,0.3246993700572789 ± 0.0034062516506048,0.2895562201242075 ± 0.0041501969382233,0.6894877505567928 ± 0.0035960371904061,0.7738557256448126 ± 0.0013546665089491,0.6894877505567928 ± 0.0035960371904061,0.6570134261207793 ± 0.0053998985889224,0.4442658746133111 ± 0.0046881776339623,0.9193135743792122 ± 0.003301547442854,0.9077695214312526 ± 0.0018920267331141,0.3777777777777777 ± 0.010230376367646,0.9738500851788756 ± 0.0027203951316305,0.9295929737262936 ± 0.0050736875692009,0.6317819669605995 ± 0.0032425104726298,0.1428681508744234 ± 0.0054948362290031,0.1896696291739939 ± 0.0024615599286061,129.43191528320312 ± 25.073157919056484,500.0 ± 0.0,0.0 ± 0.0
kaggle-isot,gcn,0.9642232836008008 ± 0.003729201746142,0.9642518495881792 ± 0.0037207086412503,0.9642232836008008 ± 0.003729201746142,0.9642171917025668 ± 0.0037320988140926,0.9283131185867964 ± 0.0074706054231724,0.9920619489836996 ± 0.0020270551851942,0.9914534782815768 ± 0.0021766782294924,0.9592088197146562 ± 0.0062385765269197,0.9687972299262868 ± 0.0043232978852424,0.9655810678731432 ± 0.0046156837763428,0.963039332239608 ± 0.0054424115679837,0.8620514092258922 ± 0.0138790146008312,0.7777325851550005 ± 0.0178526899391139,0.9214699331848554 ± 0.0039890624814678,0.922411566645384 ± 0.0038003852225436,0.9214699331848554 ± 0.0039890624814678,0.9213242636318804 ± 0.0040184470539319,0.8433654537220716 ± 0.0078317822970224,0.9457728690567652 ± 0.0044133180837409,0.947248362662898 ± 0.0044039748735149,0.8909430438842204 ± 0.0075754068628895,0.9493185689948892 ± 0.0030414942199927,0.941309873982869 ± 0.0033837627594496,0.905171287975498 ± 0.0059548707864668,0.7105290223843184 ± 0.0133768252112935,0.607518258726309 ± 0.0133635931954929,106.40420913696288 ± 10.514846167709829,324.0 ± 25.288337232803585,1.0 ± 0.0
kaggle-isot,feastconv,0.9620964707118695 ± 0.0042283830285093,0.9621044164376868 ± 0.0042365356792595,0.9620964707118695 ± 0.0042283830285093,0.96209232093684 ± 0.0042259257713317,0.9240327544167506 ± 0.0084782925382218,0.9909030291328916 ± 0.0016145994175983,0.9901030889844454 ± 0.0020216944857466,0.9578145265888456 ± 0.0030679101428692,0.9660021463861604 ± 0.0056119833128398,0.962560413473192 ± 0.0060446596092935,0.9616885004093104 ± 0.0028592182921251,0.8541834087622087 ± 0.015637892414894,0.7675307872283542 ± 0.0199263292264414,0.9213363028953228 ± 0.0006936486192604,0.9225599540657784 ± 0.0010876255785736,0.9213363028953228 ± 0.0006936486192604,0.9211669311668876 ± 0.0006720561036438,0.8433591779818406 ± 0.0017102602137713,0.9450931082256868 ± 0.0023734468982479,0.9480842993468552 ± 0.0028984227337169,0.8877684407096172 ± 0.0062600150483143,0.9519591141396934 ± 0.0063270763325567,0.9440763565315884 ± 0.006589108942085,0.9029312768588932 ± 0.0043340983298782,0.7100283760740644 ± 0.0023368890354004,0.608400235409103 ± 0.0046618171991861,123.47593307495116 ± 24.92598770542813,409.2 ± 16.39207125411551,1.0 ± 0.0
kaggle-isot,jknet,0.9734033456213484 ± 0.0039428768357052,0.9734067270146566 ± 0.0039398793889155,0.9734033456213484 ± 0.0039428768357052,0.973401354068477 ± 0.0039450768259217,0.9466937435708204 ± 0.0079036086453333,0.9966876743590504 ± 0.0007547406378734,0.9962843528659956 ± 0.0009236028968965,0.9707036316472116 ± 0.0057373871999738,0.9758658481314249 ± 0.0023448569202865,0.9734590801073936 ± 0.0026587517980743,0.9733589610410114 ± 0.0051432307197074,0.896488147142599 ± 0.014934698101836,0.8231684304417813 ± 0.0204691424646506,0.947260579064588 ± 0.0024264928641362,0.94741327649024 ± 0.0023464702703404,0.947260579064588 ± 0.0024264928641362,0.9472579110907384 ± 0.0024314174995952,0.8944553301693997 ± 0.0047873454139595,0.9832720737357976 ± 0.0019250984994084,0.980325540395916 ± 0.0027296586040555,0.945564892623716 ± 0.0112122599830275,0.9488074957410564 ± 0.0097510282742923,0.9441351762458532 ± 0.0095241825187031,0.9504037750947868 ± 0.0092243537543961,0.800141648276068 ± 0.0087034615411251,0.7028239875219378 ± 0.0096535662938831,123.20079803466795 ± 13.294555730672506,121.2 ± 11.924764148611072,1.0 ± 0.0
kaggle-isot,appnp,0.8861655654285734 ± 0.0256600353814111,0.8922421202346424 ± 0.0209033135077097,0.8861655654285734 ± 0.0256600353814111,0.8852295230905274 ± 0.0264507979595129,0.777190228257301 ± 0.0471603817053277,nan ± nan,nan ± nan,0.8165369649805448 ± 0.0566710892725968,0.9496760356477236 ± 0.0053102550477513,0.9366843984778096 ± 0.0053186468268105,0.8517049376912842 ± 0.0388746978733538,0.5985585918615549 ± 0.0787734857047552,0.510911776743427 ± 0.0638350594162471,0.8505567928730514 ± 0.0398809867319351,0.8759035181699598 ± 0.0258048767210293,0.8505567928730514 ± 0.0398809867319351,0.8463415785714881 ± 0.0432563791090855,0.7232443026903029 ± 0.0676948120502967,nan ± nan,nan ± nan,0.7071895424836602 ± 0.0850489803670336,0.9813458262350938 ± 0.0017404443561927,0.9717514260853052 ± 0.0022948879689022,0.7884647537940356 ± 0.0479635659771354,0.4964354423560693 ± 0.109714512425867,0.4667404982984464 ± 0.078506151313346,161.3181114196777 ± 46.29745175398205,481.0 ± 29.120439557122072,0.4 ± 0.5477225575051662
welfake,gcn,0.8334730048644223 ± 0.0218499960041004,0.8413664040875444 ± 0.0195194732002876,0.8334730048644223 ± 0.0218499960041004,0.831976751570531 ± 0.0224604299315695,0.6737573857437068 ± 0.041656426438517,0.932242082089788 ± 0.0096844949055827,0.932927556822241 ± 0.0101048784012141,0.914632318501171 ± 0.0082831575044354,0.7475911974623315 ± 0.0373248380931991,0.7936539537789262 ± 0.0257379317503267,0.891855143881805 ± 0.0134357325081916,0.4463159218214613 ± 0.0591241564383564,0.3691194507007709 ± 0.049406404898179,0.7461026352288488 ± 0.0326435419025795,0.7879824524012617 ± 0.022006256134497,0.7461026352288488 ± 0.0326435419025795,0.7338594404135602 ± 0.0376458407213583,0.5287429815544293 ± 0.0565869169353859,0.8742947218311701 ± 0.0077002741553271,0.8518123989679193 ± 0.0102551190618813,0.9423253304558944 ± 0.0020930309944721,0.5384527547816158 ± 0.0669520240128922,0.6847733344072895 ± 0.0320782397102876,0.8972020357308803 ± 0.0115727910340266,0.2454808077589501 ± 0.0661822635223465,0.2404117490862957 ± 0.0486954212000955,142.75197982788086 ± 7.122521096142153,173.0 ± 26.711420778386163,1.0 ± 0.0
welfake,sgc,0.7613735972643645 ± 0.0009393867294383,0.7714833601737179 ± 0.0022206829349718,0.7613735972643645 ± 0.0009393867294383,0.7581352215754015 ± 0.0006730327909123,0.5309694461715017 ± 0.0030381772108675,0.8612581472735478 ± 0.0042227014852108,0.853894007015364 ± 0.0074761181535107,0.8672412177985949 ± 0.0065428577966969,0.6493457573354481 ± 0.0052215685874754,0.7235481380060546 ± 0.0015081953520905,0.8222078344639445 ± 0.006042646210453,0.2732194526217568 ± 0.0019636623461013,0.2205471157212601 ± 0.0034309135260676,0.6880443828016645 ± 0.001306250727098,0.7419684937894679 ± 0.0050667306476018,0.6880443828016645 ± 0.001306250727098,0.6660559530760699 ± 0.0032373093237329,0.4211759429375125 ± 0.0031769776608028,0.841852954125182 ± 0.0068533981102488,0.8230420143619087 ± 0.0124791895230027,0.9315888858915564 ± 0.0091332755438653,0.4303168712532115 ± 0.0120331445968419,0.6337969639038894 ± 0.0026640870452149,0.8564394790266473 ± 0.0131083685828767,0.1411802189685786 ± 0.0019787098138969,0.1534285115162519 ± 0.004878662009326,184.8771572113037 ± 41.8647579998353,500.0 ± 0.0,0.0 ± 0.0
welfake,jknet,0.9321485334489236 ± 0.0058691366275527,0.9323843134760406 ± 0.005791074244306,0.9321485334489236 ± 0.0058691366275527,0.9321332804057948 ± 0.0058697392220419,0.8644137195517446 ± 0.011659647871177,0.9826186544358126 ± 0.0031466106575144,0.9838125416105674 ± 0.0029526777565589,0.9368056206088994 ± 0.0143898153520158,0.9272204599524188 ± 0.014031407926272,0.9318065140994346 ± 0.0115409966417058,0.9329957338116144 ± 0.013651092622778,0.7471132318344764 ± 0.0202282103960801,0.643596694443325 ± 0.0217091110264884,0.8860748959778085 ± 0.0044454259396324,0.886623590987783 ± 0.004071650203948,0.8860748959778085 ± 0.0044454259396324,0.8860102121489483 ± 0.0044950197295248,0.7724757629186242 ± 0.0085398853650389,0.9484179385799107 ± 0.0039362709742178,0.9465170535756586 ± 0.0053817747625042,0.8951173455624494 ± 0.0198401035109917,0.8765058521267486 ± 0.022674266279372,0.8851765324623605 ± 0.0164839406997855,0.8881549201210234 ± 0.0164731557182064,0.596221756457362 ± 0.0137931200509816,0.4900195012821459 ± 0.0121301491807266,146.55132293701172 ± 20.336153984203797,162.0 ± 39.6232255123179,1.0 ± 0.0
welfake,gat,0.915190483070847 ± 0.0176932364764185,0.9154085789389546 ± 0.0174040570558458,0.915190483070847 ± 0.0176932364764185,0.9151518085575526 ± 0.017752925243727,0.8304205452646691 ± 0.0351915934772311,0.9720792844978244 ± 0.0117419356476352,0.9730673511086152 ± 0.0099076974630427,0.924552693208431 ± 0.0094557569154203,0.9052835051546392 ± 0.0293196182650718,0.912161609833382 ± 0.0250466655280535,0.918844482507748 ± 0.0112165081296361,0.6905262449124674 ± 0.0574367175880853,0.5839504543433536 ± 0.0570332492302941,0.8606934812760055 ± 0.0125397830108753,0.8642406969988095 ± 0.0091386416425865,0.8606934812760055 ± 0.0125397830108753,0.8600861246151297 ± 0.0130873317807936,0.7243030860594203 ± 0.0219472422722446,0.9314377802956054 ± 0.0122465225622864,0.9281491582377044 ± 0.010960233251001,0.9109792284866468 ± 0.011371588296929,0.8074793034541822 ± 0.0372166310247316,0.8343674177880752 ± 0.0245392116918598,0.8958536704598977 ± 0.008036895253529,0.520830238908456 ± 0.0356758074558032,0.4270980577616641 ± 0.0244476813505428,173.33569526672363 ± 62.903504644495975,197.0 ± 31.44041984452498,1.0 ± 0.0
welfake,appnp,0.7714684775803111 ± 0.0110512040887653,0.7875542348070494 ± 0.0084217590011705,0.7714684775803111 ± 0.0110512040887653,0.7670613783320428 ± 0.0120279102621246,0.5567709073705013 ± 0.0197909933677915,nan ± nan,nan ± nan,0.8972833723653395 ± 0.0030142616872623,0.638332672482157 ± 0.0238695297376636,0.7243610133330698 ± 0.0129908232480892,0.8544245400444336 ± 0.0046107336890739,0.2951128778304027 ± 0.0240967164073071,0.2481074589503719 ± 0.0171123551156799,0.6831067961165048 ± 0.0122957183264977,0.7603424244186399 ± 0.0076786072417548,0.6831067961165048 ± 0.0122957183264977,0.6534631270800193 ± 0.0160869390307821,0.4300571777622234 ± 0.0215919994347054,nan ± nan,nan ± nan,0.9609387644995954 ± 0.0016342197173844,0.3890950613759634 ± 0.0255985221693316,0.6248319412861476 ± 0.0098840423407927,0.9037444686584768 ± 0.0060641303333033,0.1342816796577868 ± 0.0184883011286815,0.1714948035496057 ± 0.0155936843622354,158.52861404418945 ± 22.00775587235016,344.8 ± 42.67551991481768,1.0 ± 0.0
welfake,feastconv,0.8214853344892357 ± 0.0102037806850647,0.8310074114154844 ± 0.0096020775320006,0.8214853344892357 ± 0.0102037806850647,0.8196139713906035 ± 0.0104623614592316,0.6512318688341978 ± 0.0199228891447716,0.9265440544751852 ± 0.0072301776505241,0.9272178806354217 ± 0.007233802334721,0.9122154566744732 ± 0.006022279094172,0.725475812846947 ± 0.0150214575989895,0.7786391678364796 ± 0.0105388287683557,0.8864228555278834 ± 0.0088245186395118,0.4137112034307567 ± 0.0263876832994135,0.3427101444392926 ± 0.0227941632526658,0.7281830790568655 ± 0.0113134833775791,0.7759904662166572 ± 0.0073234302033445,0.7281830790568655 ± 0.0113134833775791,0.7133169931040326 ± 0.0134560527672822,0.4977990449577653 ± 0.0193209156132612,0.8700596683054279 ± 0.0049068274836606,0.8474382025366131 ± 0.0073411726208551,0.9423253304558944 ± 0.0030840059534993,0.5015700827861833 ± 0.024365461448325,0.6668904515809116 ± 0.0108452314120336,0.891444007254256 ± 0.0055115583052782,0.2084617693130313 ± 0.021287997919565,0.2134958172067466 ± 0.0153578679355802,186.62428855896 ± 47.833721333276,218.8 ± 28.08380316125293,1.0 ± 0.0
welfake,gin,0.8781630785531955 ± 0.0520057331995204,0.8821199619436927 ± 0.0476097065238051,0.8781630785531955 ± 0.0520057331995204,0.8774768532497648 ± 0.0530555122363865,0.7597889709413256 ± 0.100264451898749,0.954370420626357 ± 0.0283506024746761,0.9564356122407324 ± 0.0291272426879133,0.9001030444964873 ± 0.0114951033042235,0.8549464710547184 ± 0.1134850671534773,0.8753248964322072 ± 0.085425696366999,0.8893104183607334 ± 0.0112273136417094,0.5806667806582431 ± 0.1522296195591854,0.4885384477116952 ± 0.1348487445884112,0.8180582524271844 ± 0.071456870631243,0.8347816805705343 ± 0.047980909376721,0.8180582524271844 ± 0.071456870631243,0.81306411551474 ± 0.0787013181456046,0.6505031068907381 ± 0.1223795478033649,0.9100385957668102 ± 0.0306135243865805,0.900580754994633 ± 0.0395358171104496,0.9071486377124358 ± 0.0293941770458868,0.7237796174707395 ± 0.1773663065189856,0.7900869758092159 ± 0.1006484710465066,0.8820792171249753 ± 0.0097880563570205,0.4208662921344793 ± 0.1719290486667493,0.3561654799071557 ± 0.1168437712745803,150.563383102417 ± 29.250907076378397,130.6 ± 44.90879646572596,1.0 ± 0.0
welfake,tagconv,0.9789529451428022 ± 0.0026436286688019,0.9789896055155992 ± 0.0026524546839829,0.9789529451428022 ± 0.0026436286688019,0.978951138993757 ± 0.0026437010747144,0.9579061398180558 ± 0.0053005551907658,0.9974126336946812 ± 0.000614297616204,0.997500922764702 ± 0.0006019101586575,0.9818173302107728 ± 0.0050824960063332,0.9759218873909594 ± 0.0050624796483651,0.9773754622127994 ± 0.0046425648438088,0.9806976725018592 ± 0.0052272061998173,0.9176040030954514 ± 0.0101122700135239,0.8535420508195832 ± 0.0147367322945522,0.9216920943134536 ± 0.003026948458399,0.9219553940945632 ± 0.0028894586501411,0.9216920943134536 ± 0.003026948458399,0.921647907356406 ± 0.0030450424523848,0.8434640779209586 ± 0.0059394118439548,0.9769219354238045 ± 0.0014715803422619,0.9774956563470508 ± 0.0016863727506423,0.9364445643377394 ± 0.0037213182097779,0.9060805024264916 ± 0.0079854985616325,0.913480491725301 ± 0.0065429967226057,0.930923839165318 ± 0.0033967403616117,0.7112856091394799 ± 0.0101781751429314,0.6050456242016078 ± 0.0100767054453088,175.22687911987305 ± 24.460737132174184,147.8 ± 12.477980605851254,1.0 ± 0.0
welfake,chebnet,0.9766700380484516 ± 0.0017971974847335,0.9766701119239706 ± 0.0017974772775557,0.9766700380484516 ± 0.0017971974847335,0.976669688461137 ± 0.0017970790840209,0.9533021440788928 ± 0.003597323815947,0.9967826638462096 ± 0.0003701874613145,0.9968883340647424 ± 0.0003103401683524,0.9778266978922716 ± 0.0019851418979801,0.9754460745440126 ± 0.0016526400210892,0.976819745165498 ± 0.0015670805592286,0.9765117718314542 ± 0.0020906448161401,0.908865382792777 ± 0.0068546192665521,0.8402635995036277 ± 0.0097082798539376,0.911012482662968 ± 0.0027260077698332,0.9110128253995194 ± 0.0027252112602055,0.911012482662968 ± 0.0027260077698332,0.9110102400248424 ± 0.0027224970982574,0.8218786826655515 ± 0.0054491350057523,0.968112422193748 ± 0.0015153732071032,0.967995070812852 ± 0.0013692034485349,0.9142702994335042 ± 0.0040256639869339,0.9075649443334284 ± 0.0016571995745018,0.9127904434870826 ± 0.0017032767649,0.9091316863042878 ± 0.0040010696391586,0.6757036807326285 ± 0.0089790613357699,0.5667857842845684 ± 0.0091915287163892,158.02974700927734 ± 18.36366589654884,84.4 ± 11.696153213770756,1.0 ± 0.0
welfake,graphsage,0.9768289746183114 ± 0.0033619683360977,0.9768372261224628 ± 0.0033606890033192,0.9768289746183114 ± 0.0033619683360977,0.976827355136022 ± 0.0033624757349758,0.9536261754307294 ± 0.0067289411306978,0.9968136597009548 ± 0.0007112512429939,0.996926066479259 ± 0.0007044748706344,0.9796252927400468 ± 0.003130824349802,0.9738699444885012 ± 0.0039339140308819,0.97541625908091 ± 0.003672592869813,0.9783408763176034 ± 0.0033303036702063,0.9094973998086192 ± 0.0128137439717457,0.841480685673937 ± 0.0180888661111243,0.924244105409154 ± 0.0029575167461465,0.9242904523531752 ± 0.0029310554632126,0.924244105409154 ± 0.0029575167461465,0.9242271544014148 ± 0.0029629556733329,0.8483859576792245 ± 0.0059006319619808,0.9780917832116 ± 0.0014318421383751,0.9789337688177232 ± 0.0014925578726292,0.9324521176153224 ± 0.00213775157876,0.9155580930630888 ± 0.004829416675948,0.921182590015586 ± 0.0042125402620489,0.9275793035337184 ± 0.0022893545894025,0.7199210997837938 ± 0.010030946635348,0.6131269886697873 ± 0.010531092667436,153.15203666687012 ± 47.87414368942084,148.8 ± 17.39827577663948,1.0 ± 0.0
